Division,District ,Year,Month,Total,ANC1(%),ANC2(%),ANC3(%),ANC4(%),ANC1,ANC2,ANC3,ANC4,Delivery,NVD(%),Ceasarean(%),NVD,Ceasarean,Total Death,Maternal Death(%),Maternal Death,Maternal Death Review,Total PNC,PNC1(%),PNC2(%),PNC1,PNC2
Barishal,Bhola,2017,January,1245,100,0,0,0,1245,0,0,0,749,74.76635514,25.10013351,560,188,1,100,1,0,1111,75.87758776,24.12241224,843,268
Barishal,Bhola,2017,February,1193,100,0,0,0,1193,0,0,0,657,69.40639269,30.2891933,456,199,1,100,1,0,844,76.06635071,23.93364929,642,202
Barishal,Bhola,2017,March,1456,100,0,0,0,1456,0,0,0,722,75.76177285,24.09972299,547,174,1,100,1,0,1056,66.28787879,33.71212121,700,356
Barishal,Bhola,2017,April,1665,100,0,0,0,1665,0,0,0,752,73.53723404,25.93085106,553,195,2,100,2,0,1184,64.18918919,35.81081081,760,424
Barishal,Bhola,2017,May,1584,100,0,0,0,1584,0,0,0,731,72.91381669,24.62380301,533,180,0,0,0,0,1287,57.42035742,42.57964258,739,548
Barishal,Bhola,2017,June,1600,100,0,0,0,1600,0,0,0,898,69.04231626,29.17594655,620,262,2,100,2,0,1152,80.72916667,19.27083333,930,222
Barishal,Bhola,2017,July,1683,100,0,0,0,1683,0,0,0,849,70.90694935,27.67962309,602,235,1,100,1,0,1433,70.0628053,29.9371947,1004,429
Barishal,Bhola,2017,August,1704,100,0,0,0,1704,0,0,0,847,71.66469894,27.74498229,607,235,0,0,0,0,1490,62.48322148,37.51677852,931,559
Barishal,Bhola,2017,September,1723,100,0,0,0,1723,0,0,0,953,73.03252886,26.75760756,696,255,2,100,2,0,1814,63.00992282,36.99007718,1143,671
Barishal,Bhola,2017,October,1834,100,0,0,0,1834,0,0,0,937,74.2796158,25.08004269,696,235,1,100,1,0,1714,60.73512252,39.26487748,1041,673
Barishal,Bhola,2017,November,1760,100,0,0,0,1760,0,0,0,880,77.84090909,22.15909091,685,195,1,100,1,0,1264,61.94620253,38.05379747,783,481
Barishal,Bhola,2017,December,1694,100,0,0,0,1694,0,0,0,879,77.36063709,21.61547213,680,190,14,100,14,0,1692,59.51536643,40.48463357,1007,685
